target_pref_name,target_chembl_id,accession,TDL
Kinesin-like protein KIFC1,CHEMBL3351200,Q9BW19,Tchem
Kininogen-1,CHEMBL3638337,P01042,Tchem
Krueppel-like factor 10,CHEMBL3407312,Q13118,Tbio
Kynureninase,CHEMBL5100,Q16719,Tchem
Kynurenine 3-monooxygenase,CHEMBL2145,O15229,Tchem
Kynurenine--oxoglutarate transaminase 3,CHEMBL2046260,Q6YP21,Tbio
Kynurenine--oxoglutarate transaminase I,CHEMBL3962,Q16773,Tchem
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",CHEMBL2046259,Q8N5Z0,Tchem
L-lactate dehydrogenase A chain,CHEMBL4835,P00338,Tchem
L-lactate dehydrogenase B chain,CHEMBL4940,P07195,Tchem
L-type amino acid transporter 1,CHEMBL4459,Q01650,Tbio
LDL-associated phospholipase A2,CHEMBL3514,Q13093,Tchem
LIM domain kinase 1,CHEMBL3836,P53667,Tchem
LIM domain kinase 2,CHEMBL5932,P53671,Tchem
LXR-alpha,CHEMBL2808,Q13133,Tchem
LXR-beta,CHEMBL4093,P55055,Tchem
Lactase-phlorizin hydrolase,CHEMBL1075131,P09848,Tbio
Laforin,CHEMBL2311242,O95278,Tbio
LanC-like protein 2,CHEMBL3351212,Q9NS86,Tchem
Lanosterol synthase,CHEMBL3593,P48449,Tchem
Legumain,CHEMBL4244,Q99538,Tchem
Lethal(3)malignant brain tumor-like protein 1,CHEMBL1287622,Q9Y468,Tchem
Lethal(3)malignant brain tumor-like protein 3,CHEMBL1287623,Q96JM7,Tchem
Lethal(3)malignant brain tumor-like protein 4,CHEMBL1287624,Q8NA19,Tbio
Leucine aminopeptidase,CHEMBL3965,P28838,Tchem
Leucine-rich repeat serine/threonine-protein kinase 2,CHEMBL1075104,Q5S007,Tchem
Leucyl-tRNA synthetase,CHEMBL3258,Q9P2J5,Tchem
Leukocyte adhesion glycoprotein LFA-1 alpha,CHEMBL1803,P20701,Tclin
Leukocyte adhesion molecule-1,CHEMBL3161,P14151,Tchem
Leukocyte common antigen,CHEMBL3243,P08575,Tchem
Leukocyte elastase,CHEMBL248,P08246,Tclin
Leukocyte proteinase 3,CHEMBL3900,P24158,Tchem
Leukocyte tyrosine kinase receptor,CHEMBL5627,P29376,Tchem
Leukotriene A4 hydrolase,CHEMBL4618,P09960,Tchem
Leukotriene B4 receptor 1,CHEMBL3911,Q15722,Tchem
Lipoprotein lipase,CHEMBL2060,P06858,Tchem
Lipoxin A4 receptor,CHEMBL4227,P25090,Tchem
Liver glycogen phosphorylase,CHEMBL2568,P06737,Tchem
Long-chain fatty acid transport protein 1,CHEMBL2052038,Q6PCB7,Tchem
Low affinity immunoglobulin gamma Fc region receptor II-a,CHEMBL5841,P12318,Tbio
Low affinity immunoglobulin gamma Fc region receptor III-B,CHEMBL5842,O75015,Tbio
Low affinity neurotrophin receptor p75NTR,CHEMBL4762,P08138,Tclin
Low affinity sodium-glucose cotransporter,CHEMBL1770047,Q9NY91,Tchem
Low molecular weight phosphotyrosine protein phosphatase,CHEMBL4903,P24666,Tchem
Low-density lipoprotein receptor-related protein 6,CHEMBL3745588,O75581,Tbio
Luteinizing hormone/Choriogonadotropin receptor,CHEMBL1854,P22888,Tclin
Lymphocyte antigen 96,CHEMBL2375202,Q9Y6Y9,Tchem
Lymphocyte differentiation antigen CD38,CHEMBL4660,P28907,Tclin
Lymphoid enhancer-binding factor 1,CHEMBL3217392,Q9UJU2,Tchem
Lysine-specific demethylase 2A,CHEMBL1938210,Q9Y2K7,Tchem
Lysine-specific demethylase 2B,CHEMBL3779760,Q8NHM5,Tchem
Lysine-specific demethylase 3A,CHEMBL1938209,Q9Y4C1,Tchem
Lysine-specific demethylase 4A,CHEMBL5896,O75164,Tchem
Lysine-specific demethylase 4B,CHEMBL3313832,O94953,Tchem
Lysine-specific demethylase 4C,CHEMBL6175,Q9H3R0,Tchem
Lysine-specific demethylase 4D,CHEMBL6138,Q6B0I6,Tchem
Lysine-specific demethylase 4D-like,CHEMBL1293226,B2RXH2,Tchem
Lysine-specific demethylase 5A,CHEMBL2424504,P29375,Tchem
Lysine-specific demethylase 5B,CHEMBL3774295,Q9UGL1,Tchem
Lysine-specific demethylase 5C,CHEMBL2163176,P41229,Tchem
Lysine-specific demethylase 6B,CHEMBL1938211,O15054,Tchem
Lysine-specific demethylase 7,CHEMBL2163177,Q6ZMT4,Tchem
Lysine-specific histone demethylase 1,CHEMBL6136,O60341,Tchem
Lysine-specific histone demethylase 1B,CHEMBL1938208,Q8NB78,Tbio
Lysophosphatidic acid receptor 4,CHEMBL5968,Q99677,Tchem
Lysophosphatidic acid receptor 5,CHEMBL5700,Q9H1C0,Tchem
Lysophosphatidic acid receptor 6,CHEMBL2331058,P43657,Tchem
Lysophosphatidic acid receptor Edg-2,CHEMBL3819,Q92633,Tchem
Lysophosphatidic acid receptor Edg-4,CHEMBL3724,Q9HBW0,Tchem
Lysophosphatidic acid receptor Edg-7,CHEMBL3250,Q9UBY5,Tchem
Lysosomal Pro-X carboxypeptidase,CHEMBL2335,P42785,Tchem
Lysosomal acid lipase/cholesteryl ester hydrolase,CHEMBL4184,P38571,Tchem
Lysosomal alpha-glucosidase,CHEMBL2608,P10253,Tclin
Lysosomal alpha-mannosidase,CHEMBL4059,O00754,Tchem
Lysosomal protective protein,CHEMBL6115,P10619,Tchem
Lysyl-tRNA synthetase,CHEMBL5575,Q15046,Tchem
MAP kinase ERK1,CHEMBL3385,P27361,Tchem
MAP kinase ERK2,CHEMBL4040,P28482,Tchem
MAP kinase p38 alpha,CHEMBL260,Q16539,Tchem
MAP kinase p38 beta,CHEMBL3961,Q15759,Tchem
MAP kinase p38 delta,CHEMBL2939,O15264,Tchem
MAP kinase p38 gamma,CHEMBL4674,P53778,Tchem
MAP kinase signal-integrating kinase 2,CHEMBL4204,Q9HBH9,Tchem
MAP kinase-activated protein kinase 2,CHEMBL2208,P49137,Tchem
MAP kinase-activated protein kinase 3,CHEMBL4670,Q16644,Tchem
MAP kinase-activated protein kinase 5,CHEMBL3094,Q8IW41,Tchem
MAP kinase-interacting serine/threonine-protein kinase MNK1,CHEMBL4718,Q9BUB5,Tchem
MAP/microtubule affinity-regulating kinase 2,CHEMBL3831,Q7KZI7,Tchem
MAP/microtubule affinity-regulating kinase 4,CHEMBL5754,Q96L34,Tchem
MBT domain-containing protein 1,CHEMBL1287625,Q05BQ5,Tdark
Macrophage colony stimulating factor  receptor,CHEMBL1844,P07333,Tclin
Macrophage migration inhibitory factor,CHEMBL2085,P14174,Tchem
Macrophage-expressed gene 1 protein,CHEMBL3414409,Q2M385,Tchem
Macrophage-stimulating protein receptor,CHEMBL2689,Q04912,Tchem
Malate dehydrogenase cytoplasmic,CHEMBL3560,P40925,Tbio
"Malate dehydrogenase, mitochondrial",CHEMBL5917,P40926,Tchem
Malonyl-CoA decarboxylase,CHEMBL4698,O95822,Tchem
Maltase-glucoamylase,CHEMBL2074,O43451,Tclin
Mannose-6-phosphate isomerase,CHEMBL2758,P34949,Tchem
Mas-related G-protein coupled receptor member X1,CHEMBL5850,Q96LB2,Tchem
Mas-related G-protein coupled receptor member X2,CHEMBL5849,Q96LB1,Tchem
Maternal embryonic leucine zipper kinase,CHEMBL4578,Q14680,Tchem
Matriptase,CHEMBL3018,Q9Y5Y6,Tchem
Matrix metalloproteinase 10,CHEMBL4270,P09238,Tchem
Matrix metalloproteinase 11,CHEMBL2867,P24347,Tchem
Matrix metalloproteinase 12,CHEMBL4393,P39900,Tchem
Matrix metalloproteinase 13,CHEMBL280,P45452,Tchem
Matrix metalloproteinase 14,CHEMBL3869,P50281,Tchem
Matrix metalloproteinase 15,CHEMBL2963,P51511,Tchem
Matrix metalloproteinase 16,CHEMBL2200,P51512,Tchem
Matrix metalloproteinase 17,CHEMBL2937,Q9ULZ9,Tchem
Matrix metalloproteinase 26,CHEMBL4707,Q9NRE1,Tchem
Matrix metalloproteinase 3,CHEMBL283,P08254,Tchem
Matrix metalloproteinase 7,CHEMBL4073,P09237,Tchem
Matrix metalloproteinase 8,CHEMBL4588,P22894,Tchem
Matrix metalloproteinase 9,CHEMBL321,P14780,Tchem
Matrix metalloproteinase-1,CHEMBL332,P03956,Tchem
Matrix metalloproteinase-2,CHEMBL333,P08253,Tchem
Matrix metalloproteinase-20,CHEMBL1938226,O60882,Tbio
Matrix metalloproteinase-24,CHEMBL5050,Q9Y5R2,Tbio
Matrix metalloproteinase-25,CHEMBL1795103,Q9NPA2,Tchem
Max-like protein X,CHEMBL2062357,Q9UH92,Tchem
Melanin-concentrating hormone receptor 1,CHEMBL344,Q99705,Tchem
Melanin-concentrating hormone receptor 2,CHEMBL5038,Q969V1,Tchem
Melanocortin receptor 1,CHEMBL3795,Q01726,Tclin
Melanocortin receptor 3,CHEMBL4644,P41968,Tchem
Melanocortin receptor 4,CHEMBL259,P32245,Tchem
Melanocortin receptor 5,CHEMBL4608,P33032,Tchem
Melatonin receptor 1A,CHEMBL1945,P48039,Tclin
Melatonin receptor 1B,CHEMBL1946,P49286,Tclin
Membrane-bound transcription factor site-1 protease,CHEMBL5916,Q14703,Tchem
Menin,CHEMBL1615381,O00255,Tchem
Metabotropic glutamate receptor 1,CHEMBL3772,Q13255,Tchem
Metabotropic glutamate receptor 2,CHEMBL5137,Q14416,Tchem
Metabotropic glutamate receptor 3,CHEMBL2888,Q14832,Tchem
Metabotropic glutamate receptor 4,CHEMBL2736,Q14833,Tchem
Metabotropic glutamate receptor 5,CHEMBL3227,P41594,Tchem
Metabotropic glutamate receptor 6,CHEMBL4573,O15303,Tchem
Metabotropic glutamate receptor 7,CHEMBL3777,Q14831,Tchem
Metabotropic glutamate receptor 8,CHEMBL3228,O00222,Tchem
Metastin receptor,CHEMBL5413,Q969F8,Tchem
Methionine aminopeptidase 1,CHEMBL2474,P53582,Tchem
Methionine aminopeptidase 2,CHEMBL3922,P50579,Tchem
Methionine synthase,CHEMBL2150844,Q99707,Tbio
Methionyl-tRNA synthetase,CHEMBL2870,P56192,Tchem
Methyl-CpG-binding domain protein 2,CHEMBL3707462,Q9UBB5,Tchem
Microsomal triglyceride transfer protein large subunit,CHEMBL2569,P55157,Tclin
Microtubule-associated protein 2,CHEMBL2390810,P11137,Tchem
Microtubule-associated protein tau,CHEMBL1293224,P10636,Tchem
Microtubule-associated serine/threonine-protein kinase 1,CHEMBL1163128,Q9Y2H9,Tchem
Microtubule-associated serine/threonine-protein kinase 3,CHEMBL2417352,O60307,Tchem
Mineralocorticoid receptor,CHEMBL1994,P08235,Tclin
Misshapen-like kinase 1,CHEMBL5518,Q8N4C8,Tchem
Mitogen-activated protein kinase 15,CHEMBL5198,Q8TD08,Tchem
Mitogen-activated protein kinase 4,CHEMBL5759,P31152,Tbio
Mitogen-activated protein kinase 6,CHEMBL5121,Q16659,Tbio
Mitogen-activated protein kinase 7,CHEMBL5332,Q13164,Tchem
Mitogen-activated protein kinase kinase kinase 1,CHEMBL3956,Q13233,Tchem
Mitogen-activated protein kinase kinase kinase 10,CHEMBL2873,Q02779,Tchem
Mitogen-activated protein kinase kinase kinase 11,CHEMBL2708,Q16584,Tchem
Mitogen-activated protein kinase kinase kinase 12,CHEMBL1908389,Q12852,Tchem
Mitogen-activated protein kinase kinase kinase 13,CHEMBL1163124,O43283,Tchem
Mitogen-activated protein kinase kinase kinase 14,CHEMBL5888,Q99558,Tchem
Mitogen-activated protein kinase kinase kinase 15,CHEMBL1163127,Q6ZN16,Tchem
Mitogen-activated protein kinase kinase kinase 2,CHEMBL5914,Q9Y2U5,Tchem
Mitogen-activated protein kinase kinase kinase 3,CHEMBL5970,Q99759,Tchem
Mitogen-activated protein kinase kinase kinase 4,CHEMBL4853,Q9Y6R4,Tbio
Mitogen-activated protein kinase kinase kinase 5,CHEMBL5285,Q99683,Tchem
Mitogen-activated protein kinase kinase kinase 6,CHEMBL1163123,O95382,Tchem
Mitogen-activated protein kinase kinase kinase 7,CHEMBL5776,O43318,Tchem
Mitogen-activated protein kinase kinase kinase 8,CHEMBL4899,P41279,Tchem
Mitogen-activated protein kinase kinase kinase 9,CHEMBL2872,P80192,Tchem
Mitogen-activated protein kinase kinase kinase kinase 1,CHEMBL5749,Q92918,Tchem
Mitogen-activated protein kinase kinase kinase kinase 2,CHEMBL5330,Q12851,Tchem
Mitogen-activated protein kinase kinase kinase kinase 3,CHEMBL5432,Q8IVH8,Tchem
Mitogen-activated protein kinase kinase kinase kinase 4,CHEMBL6166,O95819,Tchem
Mitogen-activated protein kinase kinase kinase kinase 5,CHEMBL4852,Q9Y4K4,Tchem
Mitotic checkpoint serine/threonine-protein kinase BUB1,CHEMBL1772932,O43683,Tchem
Mixed lineage kinase 7,CHEMBL3886,Q9NYL2,Tchem
Monoacylglycerol lipase ABHD12,CHEMBL5516,Q8N2K0,Tchem
Monoacylglycerol lipase ABHD6,CHEMBL2189127,Q9BV23,Tchem
Monoamine oxidase A,CHEMBL1951,P21397,Tclin
Monoamine oxidase B,CHEMBL2039,P27338,Tclin
Monocarboxylate transporter 1,CHEMBL4360,P53985,Tchem
Monocarboxylate transporter 4,CHEMBL2073663,O15427,Tchem
Monoglyceride lipase,CHEMBL4191,Q99685,Tchem
Motilin receptor,CHEMBL2203,O43193,Tchem
Mu opioid receptor,CHEMBL233,P35372,Tclin
Mucosa-associated lymphoid tissue lymphoma translocation protein 1,CHEMBL3632452,Q9UDY8,Tchem
Multidrug and toxin extrusion protein 1,CHEMBL1743126,Q96FL8,Tchem
Multidrug and toxin extrusion protein 2,CHEMBL1743127,Q86VL8,Tchem
Multidrug resistance-associated protein 1,CHEMBL3004,P33527,Tchem
Multidrug resistance-associated protein 4,CHEMBL1743128,O15439,Tchem
Multidrug resistance-associated protein 5,CHEMBL2046258,O15440,Tchem
Muscarinic acetylcholine receptor M1,CHEMBL216,P11229,Tclin
Muscarinic acetylcholine receptor M2,CHEMBL211,P08172,Tclin
Muscarinic acetylcholine receptor M3,CHEMBL245,P20309,Tclin
Muscarinic acetylcholine receptor M4,CHEMBL1821,P08173,Tclin
Muscarinic acetylcholine receptor M5,CHEMBL2035,P08912,Tclin
Muscle glycogen phosphorylase,CHEMBL3526,P11217,Tchem
Muscle glycogen synthase,CHEMBL4000,P13807,Tchem
"Muscle, skeletal receptor tyrosine protein kinase",CHEMBL5684,O15146,Tchem
Myc proto-oncogene protein,CHEMBL1250348,P01106,Tbio
Myelin transcription factor 1,CHEMBL2331044,Q01538,Tchem
Myelin-associated glycoprotein,CHEMBL5807,P20916,Tchem
Myeloperoxidase,CHEMBL2439,P05164,Tchem
Myoglobin,CHEMBL2406892,P02144,Tbio
Myosin IIIA,CHEMBL5546,Q8NEV4,Tbio
Myosin light chain kinase,CHEMBL4627,Q32MK0,Tchem
Myosin light chain kinase family member 4,CHEMBL5426,Q86YV6,Tchem
"Myosin light chain kinase, smooth muscle",CHEMBL2428,Q15746,Tchem
Myosin-IIIB,CHEMBL5654,Q8WXR4,Tbio
Myotonin-protein kinase,CHEMBL5320,Q09013,Tchem
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",CHEMBL6036,O94760,Tchem
N-acylneuraminate-9-phosphatase,CHEMBL2401602,Q8TBE9,Tbio
N-acylsphingosine-amidohydrolase,CHEMBL4349,Q02083,Tchem
N-arachidonyl glycine receptor,CHEMBL2384898,Q14330,Tchem
N-lysine methyltransferase SETD8,CHEMBL1795176,Q9NQR1,Tchem
N-lysine methyltransferase SMYD2,CHEMBL2169716,Q9NRG4,Tchem
"NACHT, LRR and PYD domains-containing protein 3",CHEMBL1741208,Q96P20,Tchem
NAD kinase,CHEMBL6177,O95544,Tbio
NAD-dependent deacetylase sirtuin 1,CHEMBL4506,Q96EB6,Tchem
NAD-dependent deacetylase sirtuin 2,CHEMBL4462,Q8IXJ6,Tchem
NAD-dependent deacetylase sirtuin 3,CHEMBL4461,Q9NTG7,Tchem
NAD-dependent protein deacetylase sirtuin-6,CHEMBL2163182,Q8N6T7,Tchem
"NAD-dependent protein deacylase sirtuin-5, mitochondrial",CHEMBL2163183,Q9NXA8,Tchem
NADP-dependent malic enzyme,CHEMBL3495,P48163,Tchem
NADPH oxidase 1,CHEMBL1287628,Q9Y5S8,Tchem
NADPH oxidase 4,CHEMBL1250375,Q9NPH5,Tchem
NADPH oxidase 5,CHEMBL1926497,Q96PH1,Tchem
NEDD8-activating enzyme E1 regulatory subunit,CHEMBL2016431,Q13564,Tchem
NF-kappa-B essential modulator,CHEMBL4967,Q9Y6K9,Tbio
NF-kappaB inhibitor alpha,CHEMBL2898,P25963,Tchem
NT-3 growth factor receptor,CHEMBL5608,Q16288,Tchem
NUAK family SNF1-like kinase 1,CHEMBL5784,O60285,Tchem
NUAK family SNF1-like kinase 2,CHEMBL5698,Q9H093,Tchem
Natural resistance-associated macrophage protein 2,CHEMBL1932895,P49281,Tchem
Nck adaptor protein 1,CHEMBL4846,P16333,Tbio
Neprilysin,CHEMBL1944,P08473,Tclin
Nerve growth factor receptor Trk-A,CHEMBL2815,P04629,Tclin
Neurogenic locus notch homolog protein 1,CHEMBL2146346,P46531,Tchem
Neurogenic locus notch homolog protein 2,CHEMBL3407320,Q04721,Tchem
Neurogenic locus notch homolog protein 3,CHEMBL3407319,Q9UM47,Tchem
Neurogenic locus notch homolog protein 4,CHEMBL3407321,Q99466,Tchem
Neurokinin 1 receptor,CHEMBL249,P25103,Tclin
Neurokinin 2 receptor,CHEMBL2327,P21452,Tchem
Neurokinin 3 receptor,CHEMBL4429,P29371,Tchem
Neuromedin B receptor,CHEMBL3636,P28336,Tchem
Neuromedin-U receptor 2,CHEMBL1075144,Q9GZQ4,Tchem
Neuronal acetylcholine receptor protein alpha-4 subunit,CHEMBL1882,P43681,Tclin
Neuronal acetylcholine receptor protein alpha-7 subunit,CHEMBL2492,P36544,Tchem
Neuronal acetylcholine receptor subunit alpha-3,CHEMBL3068,P32297,Tclin
Neuropeptide FF receptor 1,CHEMBL5951,Q9GZQ6,Tchem
Neuropeptide FF receptor 2,CHEMBL5952,Q9Y5X5,Tchem
Neuropeptide S receptor,CHEMBL5162,Q6W5P4,Tchem
Neuropeptide Y receptor type 1,CHEMBL4777,P25929,Tchem
Neuropeptide Y receptor type 2,CHEMBL4018,P49146,Tchem
Neuropeptide Y receptor type 4,CHEMBL4877,P50391,Tchem
Neuropeptide Y receptor type 5,CHEMBL4561,Q15761,Tchem
Neuropeptides B/W receptor type 1,CHEMBL1293293,P48145,Tchem
Neuropilin-1,CHEMBL5174,O14786,Tchem
Neurotensin receptor 1,CHEMBL4123,P30989,Tchem
Neurotensin receptor 2,CHEMBL2514,O95665,Tchem
Neurotensin receptor 3,CHEMBL3091,Q99523,Tchem
Neurotrophic tyrosine kinase receptor type 2,CHEMBL4898,Q16620,Tchem
Neutral amino acid transporter B(0),CHEMBL3562162,Q15758,Tchem
Neutral ceramidase,CHEMBL2021754,Q9NR71,Tbio
Neutral cholesterol ester hydrolase 1,CHEMBL5048,Q6PIU2,Tchem
Nicotinamide N-methyltransferase,CHEMBL2346486,P40261,Tchem
Nicotinamide phosphoribosyltransferase,CHEMBL1744525,P43490,Tchem
Niemann-Pick C1 protein,CHEMBL1293277,O15118,Tbio
Niemann-Pick C1-like protein 1,CHEMBL2027,Q9UHC9,Tclin
Nischarin,CHEMBL3923,Q9Y2I1,Tclin
"Nitric oxide synthase, inducible",CHEMBL4481,P35228,Tchem
"Nitric-oxide synthase, brain",CHEMBL3568,P29475,Tchem
"Nitric-oxide synthase, endothelial",CHEMBL4803,P29474,Tchem
Nociceptin receptor,CHEMBL2014,P41146,Tchem
Non-receptor tyrosine-protein kinase TNK1,CHEMBL5334,Q13470,Tchem
Non-secretory ribonuclease,CHEMBL5120,P10153,Tchem
Non-specific lipid-transfer protein,CHEMBL5950,P22307,Tchem
Norepinephrine transporter,CHEMBL222,P23975,Tclin
Nuclear factor NF-kappa-B p105 subunit,CHEMBL3251,P19838,Tchem
Nuclear factor NF-kappa-B p65 subunit,CHEMBL5533,Q04206,Tchem
Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Q16236,Tchem
Nuclear receptor ROR-alpha,CHEMBL5868,P35398,Tchem
Nuclear receptor ROR-beta,CHEMBL3091268,Q92753,Tchem
Nuclear receptor ROR-gamma,CHEMBL1741186,P51449,Tchem
Nuclear receptor subfamily 0 group B member 2,CHEMBL5603,Q15466,Tchem
Nuclear receptor subfamily 1 group D member 1,CHEMBL1961783,P20393,Tchem
Nuclear receptor subfamily 1 group D member 2,CHEMBL1961784,Q14995,Tchem
Nuclear receptor subfamily 1 group I member 3,CHEMBL5503,Q14994,Tchem
Nuclear receptor subfamily 2 group C member 2,CHEMBL5716,P49116,Tchem
Nuclear receptor subfamily 4 group A member 2,CHEMBL5002,P43354,Tchem
Nucleophosmin,CHEMBL5178,P06748,Tbio
Nucleosome-remodeling factor subunit BPTF,CHEMBL3085621,Q12830,Tchem
Nucleotide-binding oligomerization domain-containing protein 1,CHEMBL1293222,Q9Y239,Tchem
Nucleotide-binding oligomerization domain-containing protein 2,CHEMBL1293266,Q9HC29,Tclin
Oligopeptide transporter small intestine isoform,CHEMBL4605,P46059,Tchem
Opioid growth factor receptor-like protein 1,CHEMBL3638334,Q5TC84,Tchem
Orexin receptor 1,CHEMBL5113,O43613,Tclin
Orexin receptor 2,CHEMBL4792,O43614,Tclin
"Ornithine aminotransferase, mitochondrial",CHEMBL5954,P04181,Tchem
Ornithine decarboxylase,CHEMBL1869,P11926,Tclin
Orphan nuclear receptor LRH-1,CHEMBL3544,O00482,Tchem
Oxoeicosanoid receptor 1,CHEMBL1628461,Q8TDS5,Tchem
Oxytocin receptor,CHEMBL2049,P30559,Tclin
P-glycoprotein 1,CHEMBL4302,P08183,Tchem
P-selectin,CHEMBL5378,P16109,Tchem
P-selectin glycoprotein ligand 1,CHEMBL4183,Q14242,Tbio
P2X purinoceptor 1,CHEMBL2094,P51575,Tchem
P2X purinoceptor 2,CHEMBL2531,Q9UBL9,Tchem
P2X purinoceptor 3,CHEMBL2998,P56373,Tchem
P2X purinoceptor 4,CHEMBL2104,Q99571,Tchem
P2X purinoceptor 7,CHEMBL4805,Q99572,Tchem
PAS domain-containing serine/threonine-protein kinase,CHEMBL6054,Q96RG2,Tbio
PDZ-binding kinase,CHEMBL4896,Q96KB5,Tchem
PH domain leucine-rich repeat-containing protein phosphatase 1,CHEMBL3414405,O60346,Tchem
PI3-kinase p110-alpha subunit,CHEMBL4005,P42336,Tclin
PI3-kinase p110-beta subunit,CHEMBL3145,P42338,Tchem
PI3-kinase p110-delta subunit,CHEMBL3130,O00329,Tclin
PI3-kinase p110-gamma subunit,CHEMBL3267,P48736,Tchem
PI4-kinase alpha subunit,CHEMBL3667,P42356,Tchem
PI4-kinase beta subunit,CHEMBL3268,Q9UBF8,Tchem
PI4-kinase type II,CHEMBL2251,Q9BTU6,Tbio
PITSLRE serine/threonine-protein kinase CDC2L1,CHEMBL5808,P21127,Tchem
PITSLRE serine/threonine-protein kinase CDC2L2,CHEMBL5416,Q9UQ88,Tchem
"POU domain, class 2, transcription factor 1",CHEMBL3509601,P14859,Tbio
"POU domain, class 2, transcription factor 2",CHEMBL3509582,P09086,Tbio
Palmitoleoyl-protein carboxylesterase NOTUM,CHEMBL3714531,Q6P988,Tchem
Pancreatic alpha-amylase,CHEMBL2045,P04746,Tclin
Pancreatic lipase,CHEMBL1812,P16233,Tclin
Pantothenate kinase 1,CHEMBL3407326,Q8TE04,Tbio
"Pantothenate kinase 2, mitochondrial",CHEMBL3407327,Q9BZ23,Tbio
Pantothenate kinase 3,CHEMBL3407328,Q9H999,Tchem
Parathyroid hormone receptor,CHEMBL1793,Q03431,Tclin
Patatin-like phospholipase domain-containing protein 2,CHEMBL3822353,Q96AD5,Tchem
Pepsin A,CHEMBL3295,P0DJD9,Tclin
Pepsinogen C,CHEMBL2136,P20142,Tchem
Peptide N-myristoyltransferase 1,CHEMBL2593,P30419,Tchem
Peptide N-myristoyltransferase 2,CHEMBL2849,O60551,Tchem
Peptide deformylase mitochondrial,CHEMBL4647,Q9HBH1,Tchem
Peptidyl-glycine alpha-amidating monooxygenase,CHEMBL2544,P19021,Tchem
Peptidyl-prolyl cis-trans isomerase D,CHEMBL1697657,Q08752,Tchem
Peptidyl-prolyl cis-trans isomerase FKBP5,CHEMBL2052031,Q13451,Tchem
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,CHEMBL2288,Q13526,Tchem
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2,CHEMBL4923,Q9Y237,Tbio
Peregrin,CHEMBL3132741,P55201,Tchem
Perforin-1,CHEMBL5480,P14222,Tchem
Period circadian protein homolog 2,CHEMBL3751648,O15055,Tchem
Peripheral plasma membrane protein CASK,CHEMBL1908381,O14936,Tchem
Peroxisome proliferator-activated receptor alpha,CHEMBL239,Q07869,Tclin
Peroxisome proliferator-activated receptor delta,CHEMBL3979,Q03181,Tchem
Peroxisome proliferator-activated receptor gamma,CHEMBL235,P37231,Tclin
Phenylalanine-4-hydroxylase,CHEMBL3076,P00439,Tclin
Phenylethanolamine N-methyltransferase,CHEMBL4617,P11086,Tchem
Phosphatidylcholine:ceramide cholinephosphotransferase 1,CHEMBL3611965,Q86VZ5,Tchem
Phosphatidylcholine:ceramide cholinephosphotransferase 2,CHEMBL3112379,Q8NHU3,Tchem
"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",CHEMBL2331064,O15357,Tchem
Phosphatidylinositol 3-kinase catalytic subunit type 3,CHEMBL1075165,Q8NEB9,Tchem
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,CHEMBL5554,O00750,Tchem
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha,CHEMBL1075102,O00443,Tchem
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,CHEMBL1163120,O75747,Tchem
Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha,CHEMBL5969,Q99755,Tbio
Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma,CHEMBL1908383,O60331,Tchem
Phosphatidylinositol-5-phosphate 4-kinase type-2 beta,CHEMBL5667,P78356,Tchem
Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,CHEMBL1770034,Q8TBX8,Tchem
Phosphodiesterase 10A,CHEMBL4409,Q9Y233,Tclin
Phosphodiesterase 11A,CHEMBL2717,Q9HCR9,Tchem
Phosphodiesterase 1A,CHEMBL3421,P54750,Tclin
Phosphodiesterase 1B,CHEMBL4425,Q01064,Tclin
Phosphodiesterase 1C,CHEMBL4619,Q14123,Tclin
Phosphodiesterase 2A,CHEMBL2652,O00408,Tclin
Phosphodiesterase 3A,CHEMBL241,Q14432,Tclin
Phosphodiesterase 3B,CHEMBL290,Q13370,Tclin
Phosphodiesterase 4A,CHEMBL254,P27815,Tclin
Phosphodiesterase 4B,CHEMBL275,Q07343,Tclin
Phosphodiesterase 4C,CHEMBL291,Q08493,Tclin
Phosphodiesterase 4D,CHEMBL288,Q08499,Tclin
Phosphodiesterase 5A,CHEMBL1827,O76074,Tclin
Phosphodiesterase 6A,CHEMBL3878,P16499,Tclin
Phosphodiesterase 6C,CHEMBL3977,P51160,Tclin
Phosphodiesterase 6D,CHEMBL3860,O43924,Tclin
Phosphodiesterase 7A,CHEMBL3012,Q13946,Tclin
Phosphodiesterase 7B,CHEMBL4716,Q9NP56,Tclin
Phosphodiesterase 8A,CHEMBL4640,O60658,Tclin
Phosphodiesterase 8B,CHEMBL4408,O95263,Tclin
Phosphodiesterase 9A,CHEMBL3535,O76083,Tchem
Phosphoenolpyruvate carboxykinase cytosolic,CHEMBL2911,P35558,Tbio
